city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Buxton,GB,53.26,-1.91,20048,False,88,82,17.2,0.0,2.0,0.0,0.0,16.0,15.2,0.0,3.2,0.0,0.0,29.599999999999998
Torit,SS,4.41,32.57,20048,False,57,54,56.00000000000001,32.800000000000004,58.4,0.0,0.0,22.0,59.199999999999996,35.199999999999996,59.599999999999994,0.0,0.0,42.8
Cranbrook,CA,49.5,-115.77,20047,False,70,66,44.0,3.2,21.2,0.0,0.0,27.6,41.199999999999996,8.799999999999999,24.8,0.0,0.0,48.0
Corabia,RO,43.78,24.5,20047,False,55,47,28.799999999999997,50.0,43.2,0.0,56.8,36.4,33.6,55.60000000000001,46.800000000000004,0.0,56.8,66.0
Rastede,DE,53.24,8.2,20046,False,42,41,16.0,0.0,6.0,85.6,40.8,24.8,13.600000000000001,3.2,8.4,85.6,40.8,41.6
Khowai,IN,24.08,91.6,20046,False,64,59,54.800000000000004,0.0,30.4,0.0,0.0,9.2,61.199999999999996,0.0,31.2,0.0,0.0,22.400000000000002
Singburi,TH,14.89,100.4,20046,False,25,23,85.2,40.400000000000006,68.4,0.0,97.2,17.599999999999998,94.8,40.400000000000006,68.4,0.0,97.2,35.199999999999996
Zürich (Kreis 6) / Unterstrass,CH,47.4,8.54,20045,False,84,72,18.8,0.0,0.0,0.0,0.0,24.8,16.400000000000002,0.0,0.0,0.0,0.0,46.400000000000006
Puerto Leguízamo,CO,-0.19,-74.78,20045,False,61,53,56.39999999999999,0.0,0.0,0.0,47.599999999999994,20.8,66.8,0.0,0.0,0.0,47.599999999999994,39.6
Govardhan,IN,27.5,77.46,20044,False,41,40,66.4,57.99999999999999,76.4,0.0,35.199999999999996,10.4,70.39999999999999,57.199999999999996,76.0,0.0,35.199999999999996,22.400000000000002
